name,code,ispb
"Cooperativa de crédito, poupança e serviços financeiros do centro oeste",400,05491616
Banif,719,
Accredito - sociedade de crédito direto s.a.,406,37715993
Banco rnx s.a.,720,80271455
Banco Bradesco Cartões S.A.,204,
BANCO SEMEAR S.A.,743,00795423
Rabobank,747,01023570
BNP Paribas,752,01522368
Facta CFI,149,15581638
Kirton Bank,399,01701201
Banco Bradesco BBI S.A.,036,06271464
Banco Bradesco Financiamentos S.A.,394,07207996
BANCO BOCOM BBM S.A.,107,15114366
BANCO ITAÚ BBA S.A.,184,17298092
Senso,545,17352220
"Avista S.A. Crédito, Financiamento e Investimento",280,23862762
CCR de Primavera do Leste,279,26563270
Scotiabank,751,29030467
Banco Credit Suisse,505,32062580
Citibank NA,477,33042953
BANCO J.P. MORGAN S.A.,376,33172537
Bapro,495,44189447
JPMorgan Chase Bank,488,46518205
ING,492,49336860
Vision S.A. Corretora De Cambio,296,04062902
Banco Bradescard,063,04184779
"Sorocred Crédito, Financiamento E Investimento",299,04814563
Banco CSF,368,08357240
Moneycorp,259,08609934
Banco Original do Agronegócio,079,09516419
Órama DTVM S.A.,325,13293225
Fram Capital DTVM S.A.,331,13673855
Cambionet CC,309,14190547
Vip's CC,298,17772370
Crefaz,321,18188384
Vortx DTVM,310,22610500
FFA SCMEPP,343,24537861
Genial Investimentos CVM,278,27652684
BS2 DTVM S.A.,292,28650236
Toro CTVM,352,29162769
Banco Bradesco Berj S.A.,122,33147315
Banco Caixa Geral - Brasil S.A.,473,33466988
Banco Itaú Consignado S.A.,029,33885724
Vitreo DTVM S.A.,367,34711571
UP.P SEP S.A.,373,35977097
Portopar DTVM,306,40303299
Necton Investimentos S.A.,354,52904364
Banco Mercedes-benz Do Brasil S.A.,381,60814191
Sagitur CC,270,61444949
Carol DTVM,288,62237649
Socopa SC Paulista S.A.,363,62285390
Solidus CCVM S.A.,365,68757681
Lastro RDV DTVM,293,71590442
Frente CC,285,71677850
RB Capital Investimentos DTVM,283,89960090
Warren CVMC,371,92875780
Decyseo CC,289,94968518
BANCO LUSO BRASILEIRO S.A.,600,59118133
Banco MUFG Brasil,456,60498557
Banco Sumitomo Mitsui,464,60518222
Itaú Unibanco Holding S.A.,652,60872504
Banco Ficsa,626,61348538
BANCO PAULISTA S.A.,611,61820817
BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.,755,62073200
neon,735,
